"n_nombres","n_apellido1","n_apellido2","k_cedula","f_nacimiento","i_genero","f_ingreso","o_numero","o_cargo","o_jefe","o_zona","n_municipio","n_departamento","v_ventas2019","o_email","o_clave","o_imagen","o_telefono"
"Elías","Unzueta","Maya",94278700,"1991-07-30","M","2005-03-26",5700001,"Ejecutivo Comercial",5700056,"Zona 1","Bogotá","Cundinamarca",46756.057,"elias.unzueta@sulogistics.com","eunzuetam1991","M1.jpg",3132229991
"Gregorio","Echeverría","Ezguerra",94246373,"1974-10-05","M","2006-02-14",5700002,"Ejecutivo Comercial",5700008,"Zona 2","Apartadó","Antioquia",31826.604,"gregorio.echeverria@sulogistics.com","gecheverriae1974","M2.jpg",3206628755
"Cecilia","Umaña","Viscaya",53233697,"1977-01-26","F","2006-04-06",5700003,"Ejecutivo Comercial",5700060,"Zona 2","Armenia","Quindío",48816.52,"cecilia.umaña@sulogistics.com","cumañav1977","F2.jpg",3148043906
"Marcela","Mendoza","Uzurriaga",53105206,"1999-06-21","F","2006-06-13",5700004,"Ejecutivo Comercial",5700033,"Zona 3","Palmira","Valle del Cauca",16977.199,"marcela.mendoza@sulogistics.com","mmendozau1999","F3.jpg",3154389705
"María Jimena","Úzuga","Alzate",53491229,"1998-06-09","F","2006-07-13",5700005,"Ejecutivo Comercial",5700015,"Zona 4","Sincelejo","Sucre",38374.492,"mariajimena.uzuga@sulogistics.com","muzugaa1998","F4.jpg",3204764540
"Agustín","Echaverría","Londoño",94779921,"1983-03-15","M","2006-08-08",5700006,"Ejecutivo Comercial",5700008,"Zona 2","Apartadó","Antioquia",25641.89,"agustin.echaverria@sulogistics.com","aechaverrial1983","M2.jpg",3175733850
"José Miguel","Arteaga","Olózaga",94465311,"1981-04-30","M","2006-08-10",5700007,"Ejecutivo Comercial",5700039,"Zona 4","Barranquilla","Atlántico",40184.669,"josemiguel.arteaga@sulogistics.com","jarteagao1981","M4.jpg",3137056859
"Tatiana","Echavarría","Montoya",53254105,"1984-03-23","F","2006-12-26",5700008,"Subgerente Regional",5700028,"Zona 2","Medellín","Antioquia",0,"tatiana.echavarria@sulogistics.com","techavarriam1984","F2.jpg",3154944966
"Joaquín","Sarria","Otoya",94728539,"1995-12-04","M","2007-01-07",5700009,"Gerente Regional",5700079,"Zona 1","Bogotá","Cundinamarca",0,"joaquin.sarria@sulogistics.com","jsarriao1995","M1.jpg",3107366047
"Rebeca","Esguerra","Arana",53112264,"1976-11-30","F","2007-08-07",5700010,"Gerente Regional",5700079,"Zona 5","Villavicencio","Meta",0,"rebeca.esguerra@sulogistics.com","resguerraa1976","F5.jpg",3159764087
"María Elisa","Daza","Echeverry",53116639,"1971-06-25","F","2007-09-11",5700011,"Ejecutivo Comercial",5700046,"Zona 1","Bogotá","Cundinamarca",39447.176,"mariaelisa.daza@sulogistics.com","mdazae1971","F1.jpg",3161688006
"Gregorio","Mazuera","Gardeazábal",94827364,"1971-02-16","M","2007-10-03",5700012,"Ejecutivo Comercial",5700033,"Zona 3","Palmira","Valle del Cauca",49952.888,"gregorio.mazuera@sulogistics.com","gmazuerag1971","M3.jpg",3109322663
"Elías","Úzuga","Gardeazábal",94740245,"1997-02-14","M","2007-10-27",5700013,"Ejecutivo Comercial",5700056,"Zona 1","Bogotá","Cundinamarca",44492.034,"elias.uzuga@sulogistics.com","euzugag1997","M1.jpg",3175181777
"Simón","Samudio","Arana",94946702,"1993-02-05","M","2008-08-16",5700014,"Ejecutivo Comercial",5700039,"Zona 4","Riohacha","La Guajira",27620.959,"simon.samudio@sulogistics.com","ssamudioa1993","M4.jpg",3141122252
"Luis Ernesto","Saldarriaga","Solórzano",94570156,"1975-09-09","M","2008-08-30",5700015,"Subgerente Regional",5700063,"Zona 4","Cartagena","Bolívar",0,"luisernesto.saldarriaga@sulogistics.com","lsaldarriagas1975","M4.jpg",3119073358
"María Dolores","Chavarro","Lenis",5332366,"2000-08-09","F","2008-11-13",5700016,"Ejecutivo Comercial",5700046,"Zona 1","Bogotá","Cundinamarca",47230.805,"mariadolores.chavarro@sulogistics.com","mchavarrol2000","F1.jpg",3171152151
"María del Socorro","Iragorri","Bedoya",5365023,"2000-12-03","F","2009-02-20",5700017,"Ejecutivo Comercial",5700039,"Zona 4","Soledad","Atlántico",48011.527,"mariadelsocorro.iragorri@sulogistics.com","miragorrib2000","F4.jpg",3156762278
"Rubén","Esguerra","Molano",94424204,"1987-11-08","M","2009-03-28",5700018,"Ejecutivo Comercial",5700046,"Zona 1","Bogotá","Cundinamarca",36987.152,"ruben.esguerra@sulogistics.com","resguerram1987","M1.jpg",3191564512
"María Victoria","Atehortúa","Ulloa",53353504,"1971-10-19","F","2009-04-05",5700019,"Ejecutivo Comercial",5700038,"Zona 1","Floridablanca","Santander",47338.336,"mariavictoria.atehortua@sulogistics.com","matehortuau1971","F1.jpg",3126466719
"Magdalena","Zuleta","Larrahondo",5339522,"1999-10-10","F","2009-06-04",5700020,"Ejecutivo Comercial",5700045,"Zona 2","Ibagué","Tolima",43139.394,"magdalena.zuleta@sulogistics.com","mzuletal1999","F2.jpg",3194805722
"Eva","Arrieta","Samudio",53287572,"1970-10-21","F","2009-07-12",5700021,"Ejecutivo Comercial",5700046,"Zona 1","Bogotá","Cundinamarca",21791.732,"eva.arrieta@sulogistics.com","earrietas1970","F1.jpg",3152889592
"Luis Felipe","Úzuga","Azcárate",94144649,"1987-09-10","M","2009-08-26",5700022,"Ejecutivo Comercial",5700038,"Zona 1","Cúcuta","Norte de Santander",32641.318,"luisfelipe.uzuga@sulogistics.com","luzugaa1987","M1.jpg",3163178743
"Luis Alfonso","Chavarríaga","Upegui",94411530,"1989-08-27","M","2009-10-23",5700023,"Ejecutivo Comercial",5700068,"Zona 3","Pasto","Nariño",48390.316,"luisalfonso.chavarriaga@sulogistics.com","lchavarriagau1989","M3.jpg",3153367063
